+ch, element, lt = 1 13 1785.05
+ch, element, lt = 1 14 1708.73
+ch, element, lt = 1 15 1694.1
+ch, element, tt = 1 0 2520.88
+ch, element, tt = 1 1 2432.11
+ch, element, tt = 1 2 2331.23
+ch, element, tt = 1 3 2279.43
+ch, element, tt = 1 4 2215.43
+ch, element, tt = 1 5 2208
+ch, element, tt = 1 6 2163.7
+ch, element, tt = 1 7 2138.98
+ch, element, tt = 1 8 2050.59
+ch, element, tt = 1 9 1986.36
+ch, element, tt = 1 10 1922.23
+ch, element, tt = 1 11 1897.7
+ch, element, tt = 1 12 1833.55
+ch, element, tt = 1 13 1784.37
+ch, element, tt = 1 14 1708.03
+ch, element, tt = 1 15 1693.09
+ch, element, lt = 3 0 2462.27
+ch, element, lt = 3 1 2445.14
+ch, element, lt = 3 2 2400.48
+ch, element, lt = 3 3 2383.6
+ch, element, lt = 3 4 2366.36
+ch, element, lt = 3 5 2321.89
+ch, element, lt = 3 6 2304.58
+ch, element, lt = 3 7 2243.04
+ch, element, lt = 3 8 2225.98
+ch, element, lt = 3 9 2164.2
+ch, element, lt = 3 10 2147.13
+ch, element, lt = 3 11 2102.41
+ch, element, lt = 3 12 2085.35
+ch, element, lt = 3 13 2023.56
+ch, element, lt = 3 14 2006.74
+ch, element, lt = 3 15 1961.89
+ch, element, tt = 3 0 2519.99
+ch, element, tt = 3 1 2502.8
+ch, element, tt = 3 2 2458.31
+ch, element, tt = 3 3 2441.15
+ch, element, tt = 3 4 2423.96
+ch, element, tt = 3 5 2396.61
+ch, element, tt = 3 6 2379.53
+ch, element, tt = 3 7 2362.3
+ch, element, tt = 3 8 2317.92
+ch, element, tt = 3 9 2300.61
+ch, element, tt = 3 10 2283.57
+ch, element, tt = 3 11 2256.22
+ch, element, tt = 3 12 2238.91
+ch, element, tt = 3 13 2221.84
+ch, element, tt = 3 14 2204.73
+ch, element, tt = 3 15 2177.19
+ch, element, lt = 4 0 2512.53
+ch, element, lt = 4 1 2484.93
+ch, element, lt = 4 2 2389.2
+ch, element, lt = 4 3 2372.03
+ch, element, lt = 4 4 2310.5
+ch, element, lt = 4 5 2293.19
+ch, element, lt = 4 6 2248.81
+ch, element, lt = 4 7 2231.42
+ch, element, lt = 4 8 2214.34
+ch, element, lt = 4 9 2169.88
+ch, element, lt = 4 10 2152.46
+ch, element, lt = 4 11 2108.23
+ch, element, lt = 4 12 2090.92
+ch, element, lt = 4 13 2073.96
+ch, element, lt = 4 14 2029.39
+ch, element, lt = 4 15 2012.19
+ch, element, tt = 4 0 2515.95
+ch, element, tt = 4 1 2498.94
+ch, element, tt = 4 2 2481.72
+ch, element, tt = 4 3 2471.55
+ch, element, tt = 4 4 2454.41
+ch, element, tt = 4 5 2437.32
+ch, element, tt = 4 6 2420.09
+ch, element, tt = 4 7 2392.7
+ch, element, tt = 4 8 2375.56
+ch, element, tt = 4 9 2358.65
+ch, element, tt = 4 10 2341.34
+ch, element, tt = 4 11 2331.06
+ch, element, tt = 4 12 2313.85
+ch, element, tt = 4 13 2297.02
+ch, element, tt = 4 14 2279.62
+ch, element, tt = 4 15 2252.14
+ch, element, lt = 5 0 2514.19
+ch, element, lt = 5 1 2497.13
+ch, element, lt = 5 2 2452.66
+ch, element, lt = 5 3 2435.35
+ch, element, lt = 5 4 2390.78
+ch, element, lt = 5 5 2373.81
+ch, element, lt = 5 6 2356.67
+ch, element, lt = 5 7 2312.27
+ch, element, lt = 5 8 2294.77
+ch, element, lt = 5 9 2250.4
+ch, element, lt = 5 10 2233.23
+ch, element, lt = 5 11 2216.12
+ch, element, lt = 5 12 2171.69
+ch, element, lt = 5 13 2154.13
+ch, element, lt = 5 14 2137.27
+ch, element, lt = 5 15 2120.23
+ch, element, tt = 5 0 2517.92
+ch, element, tt = 5 1 2500.36
+ch, element, tt = 5 2 2483.3
+ch, element, tt = 5 3 2456.13
+ch, element, tt = 5 4 2448.93
+ch, element, tt = 5 5 2438.96
+ch, element, tt = 5 6 2421.52
+ch, element, tt = 5 7 2404.85
+ch, element, tt = 5 8 2387.39
+ch, element, tt = 5 9 2377.28
+ch, element, tt = 5 10 2359.98
+ch, element, tt = 5 11 2342.98
+ch, element, tt = 5 12 2308.54
+ch, element, tt = 5 13 2298.44
+ch, element, tt = 5 14 2281.13
+ch, element, tt = 5 15 2247.01
+ch, element, lt = 6 0 2515.47
+ch, element, lt = 6 1 2503.35
+ch, element, lt = 6 2 2500.42
+ch, element, lt = 6 3 2479.39
+ch, element, lt = 6 4 2467.51
+ch, element, lt = 6 5 2463.63
+ch, element, lt = 6 6 2458.3
+ch, element, lt = 6 7 2451.43
+ch, element, lt = 6 8 2448.68
+ch, element, lt = 6 9 2439.24
+ch, element, lt = 6 10 2426.95
+ch, element, lt = 6 11 2414.89
+ch, element, lt = 6 12 2411.82
+ch, element, lt = 6 13 2406.55
+ch, element, lt = 6 14 2396.93
+ch, element, lt = 6 15 2391.24
+ch, element, tt = 6 0 2526.27
+ch, element, tt = 6 1 2523.22
+ch, element, tt = 6 2 2517.88
+ch, element, tt = 6 3 2513.99
^Z+ch, element, tt = 6 4 2508.38
